id,CMS,PVYR
W19009-15,Y,Y
W19009-22,Y,Y
W19009-26,Y,N
W19012-12,N,Y
W19013-4,N,N
W19016-5,Y,N
W19020-20,N,Y
W19022-9,N,N
W19023-24,Y,Y
W19024-15,Y,N
W19024-20,Y,N
W19026-12,Y,Y
W19026-21,Y,N
W19027-4,Y,Y
W19027-40,Y,Y
W19028-2,N,Y
W19028-23,N,Y
W19029-14,N,N
W19031-1,N,N
W19031-14,N,N
W19031-8,N,N
W20001-15,N,N
W20001-20,N,N
W20001-28,N,N
W20001-29,N,N
W20001-7,N,N
W20002-4,N,N
W20003-14,N,N
W20003-18,N,N
W20003-34,N,N
W20003-39,N,N
W20004-20,N,N
W20004-26,N,N
W20004-37,N,N
W20004-39,N,N
W20005-13,Y,Y
W20005-17,Y,Y
W20005-23,Y,Y
W20005-28,Y,Y
W20005-4,Y,Y
W20005-7,Y,Y
W20006-2,Y,Y
W20012-1,N,Y
W20012-8,N,Y
W20015-11,N,Y
W20015-27,N,Y
W20016-3,N,Y
W20017-15,N,Y
W20017-17,N,Y
W20017-28,N,Y
W20017-3,N,Y
W20017-32,N,N
W20017-8,N,Y
W20019-1,N,Y
W20020-1,N,Y
W20020-12,N,Y
W20020-16,N,Y
W20022-2,Y,Y
W20022-5,Y,Y
W20022-8,Y,Y
W20023-10,Y,Y
W20023-12,Y,Y
W20023-2,Y,Y
W20023-7,Y,Y
W20024-1,Y,Y
W20024-12,Y,Y
W20024-15,Y,Y
W20029-1,N,Y
W20031-13,Y,Y
W20031-16,Y,Y
W20031-22,Y,Y
W20031-24,Y,Y
W20031-31,Y,Y
W20031-37,Y,Y
W20031-42,Y,Y
W20031-64,Y,Y
W20031-67,Y,Y
W20032-18,Y,Y
W20032-30,Y,Y
W20032-31,Y,Y
W20033-4,Y,Y
W20034-11,N,Y
W20034-13,N,Y
W20034-7,N,Y
W20035-25,N,Y
W20035-33,N,Y
W20035-5,N,N
W20036-14,N,Y
W20036-38,N,Y
W20036-8,N,Y
W20038-19,N,Y
W20038-6,N,N
W20038-63,N,Y